Nombre / Inventario,Fecha,Pais,Tipo de Objeto,Estructura Imagen (JSON/Link)
Inv. 2025.1291 Vogelfigur,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1291-Vogelfigur.jpg""}"
Inv. 2025.1297 Schmuck,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1297-Schmuck.jpg""}"
Inv. 2025.1292 Zahlreiche Anhänger zusammengebunden,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1292-Zahlreiche-Anh%C3%A4nger-zusammengebunden.jpg""}"
Inv. 2025.1293 Puppe,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1293-Puppe.jpg""}"
Inv. 2025.1294 Puppe,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1294-Puppe.jpg""}"
Inv. 2025.1295 Fächer,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1295-F%C3%A4cher.jpg""}"
"MRZ Inv.Nr. 2025.1298, Schmuck",Desconocida,Michoacán,joyería,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1298-Schmuck.jpg""}"
"MRZ Inv.Nr. 2025.1299, Messerspitze",Desconocida,Michoacán,arma,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1299-Messerspitze.jpg""}"
"MRZ Inv.Nr. 2025.1300, Anhänger Gesicht",Desconocida,Michoacán,joyería,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1300-Anh%C3%A4nger-Gesicht.jpg""}"
"MRZ Inv.Nr. 2025.1301, Anhänger Gesicht",Desconocida,Michoacán,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1301-Anh%C3%A4nger-Gesicht.jpg""}"
"MRZ Inv.Nr. 2025.1306, Rechteckiges Objekt mit Einlagen",Desconocida,Michoacán,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1306-Rechteckiges-Objekt-mit-Einlagen.jpg""}"
"MRZ Inv.Nr. 2025.1308, Figur",Ano 1001,México,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/8/84/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1308-Figur.jpg""}"
"MRZ Inv.Nr. 2025.1302, Scheibe mit Einlagen",Desconocida,México,joya,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1302-Scheibe-mit-Einlagen.jpg""}"
"MRZ Inv.Nr. 2025.1307, Längliches Objekt mit Einlagen",Desconocida,Michoacán,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1307-L%C3%A4ngliches-Objekt-mit-Einlagen.jpg""}"
"MRZ Inv.Nr. 2025.1303, Figur",Desconocida,Michoacán,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1303-Figur.jpg""}"
